zipcode,lat,long
90013,34.043925,-118.2424291
90017,34.0543797,-118.2672801
90068,34.1235157,-118.3286614
90014,34.0434783,-118.2519314
90089,34.0220127,-118.2892046
90731,33.7241323,-118.2643567
90027,34.1220545,-118.2935891
90012,34.0653347,-118.243891
91406,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          34.1985119,-118.4980744
90015,34.0390107,-118.2672801
90049,34.0963058,-118.4980744
90291,33.9962144,-118.4688776
90031,34.081032,-118.2117257
91604,34.1366259,-118.3987842
90026,34.0796167,-118.2585096
90025,34.0448583,-118.4484367
90744,33.7857948,-118.2643567
91605,34.208195,-118.3987842
90039,34.1103407,-118.2585096
90036,34.0664817,-118.3520389
91342,34.3023759,-118.3695699
90064,34.0386656,-118.4221519
90021,34.0309258,-118.2380432
91352,34.23015670000001,-118.3520389
90071,34.052996,-118.2548551
90007,34.0295114,-118.2848199
90272,34.0845245,-118.5447787
90037,34.002058,-118.2818967
90028,34.1012181,-118.325739
90057,34.06170609999999,-118.2789735
90069,34.0931603,-118.3783347
91106,34.1456654,-118.1268976
91303,34.1989453,-118.597305
90095-1549,34.070264,-118.4440562
91330,34.2489458,-118.5258067
91608,34.13610070000001,-118.3519973
91367,34.1785255,-118.597305
90731     .,33.7241323,-118.2643567
90095,34.070264,-118.4440562
90067,34.0571327,-118.4148498
90038,34.0895186,-118.3315838
90733,33.7367479,-118.2805078
91423,34.1482691,-118.4338345
6817,41.488003,25.3726469
90293,33.9508728,-118.4455164
90035,34.050751,-118.3841777
90245,33.9150066,-118.4046264
91331,34.2570374,-118.4279933
90024,34.0631451,-118.4367551
90043,33.9903827,-118.3286614
90027-1462,34.1220545,-118.2935891
91436,34.1540054,-118.4922355
90045,33.9516114,-118.3875775
90732,33.7349075,-118.3140488
91601,34.1658804,-118.3637264
90046,34.1147313,-118.3637264
90042,34.1175895,-118.188329
90290,34.1076983,-118.61481
90012-2707,34.0653347,-118.243891
90292,33.9684276,-118.4571974
90012-2952,34.0653347,-118.243891
90048,34.0741548,-118.3724915
90270,33.9876248,-118.1854042
90011,34.007889,-118.2585096
90040,33.9930471,-118.153228
91401,34.1789379,-118.4338345
91602,34.1487141,-118.3608046
90032,34.0795169,-118.1766294
91007,34.1216975,-118.0478826
91311,34.2710376,-118.61481
90065,34.10885,-118.2234229
90016,34.0255188,-118.3520389
90018,34.0309972,-118.319894
90056,33.9885683,-118.3666482
90010,34.0625448,-118.3089341
90008,34.0083231,-118.3491169
90058,34.00637469999999,-118.2234229
90041,34.13224690000001,-118.2117257
90006,34.0470832,-118.2965121
91307,34.2124444,-118.6848112
91411,34.1799855,-118.4601175
